combined_cell_line,combined_drug,drug_smiles,ln_ic50
ZR-75-30:breast_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.2058408272864571
AsPC-1:pancreatic_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-0.9368259811030755
BT-483:breast_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.015268402903972
FU-OV-1:ovarian_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.6758103391806631
OVKATE:Ovarian Cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.3941320325535458
EFM-192A:breast_cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.6321989653655813
HPAC:Pancreatic Cancer,Vinblastine:Microtubule destabiliser,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,-1.4271586803084995
NCI-H1650:lung_cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,0.729048974387582
NCI-H226:lung_cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,1.3825566074113393
AsPC-1:pancreatic_cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,1.5085204811746455
BT-474:breast_cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,0.741220919474314
BT-483:breast_cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,0.8783794229051931
OVKATE:Ovarian Cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,0.9260155889999264
HCC1428:breast_cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,0.856463716571811
HPAC:Pancreatic Cancer,Cisplatin:DNA crosslinker,N.N.Cl[Pt]Cl,0.786508099386157
NCI-H2347:lung_cancer,Docetaxel:Microtubule stabiliser,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,-1.7822621963298884
SNU-449:hepatocellular_cancer,Docetaxel:Microtubule stabiliser,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,-1.9647335984994303
AsPC-1:pancreatic_cancer,Docetaxel:Microtubule stabiliser,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,-1.9010782774139754
TT:medulla_carcinoma,Docetaxel:Microtubule stabiliser,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,-1.7862616780180662
NCI-H2347:lung_cancer,Gefitinib:EGFR,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,0.24418458764649853
BT-483:breast_cancer,Gefitinib:EGFR,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,0.5096886098512815
NCI-H1650:lung_cancer,"Vorinostat:HDAC inhibitor Class I, IIa, IIb, IV",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,-0.5284101947313214
NCI-H226:lung_cancer,"Vorinostat:HDAC inhibitor Class I, IIa, IIb, IV",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,-0.24963321671070418
NCI-H522:lung_cancer,"Vorinostat:HDAC inhibitor Class I, IIa, IIb, IV",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,-0.5872299681392766
AsPC-1:pancreatic_cancer,"Vorinostat:HDAC inhibitor Class I, IIa, IIb, IV",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,-0.4548106688441591
OVKATE:Ovarian Cancer,"Vorinostat:HDAC inhibitor Class I, IIa, IIb, IV",C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,-0.2008527669401555
BT-483:breast_cancer,"Refametinib:MEK1, MEK2",COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)CC(CO)O)NC3=C(C=C(C=C3)I)F)F)F,0.4834031523705834
HCC1428:breast_cancer,"Refametinib:MEK1, MEK2",COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)CC(CO)O)NC3=C(C=C(C=C3)I)F)F)F,0.3704211626211652
NCI-H226:lung_cancer,Temsirolimus:MTOR,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,-0.01851159184609853
OVKATE:Ovarian Cancer,Temsirolimus:MTOR,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,0.1290030258509537
HCC1428:breast_cancer,Temsirolimus:MTOR,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,-0.27166894423591254
NCI-H226:lung_cancer,"Olaparib:PARP1, PARP2",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,0.9355531913966703
CAL-120:breast_cancer,"Olaparib:PARP1, PARP2",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,0.7456282282734943
MV-4-11:leukaemia,"Olaparib:PARP1, PARP2",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,-1.4804799318364845
RCM-1:rectum; adenocarcinoma; well differentiated,"Olaparib:PARP1, PARP2",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,0.6896093575768372
AsPC-1:pancreatic_cancer,"Olaparib:PARP1, PARP2",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,1.5637294129441464
BT-483:breast_cancer,"Olaparib:PARP1, PARP2",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,0.915348807635182
OVKATE:Ovarian Cancer,"Olaparib:PARP1, PARP2",C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,1.0527040805030012
NCI-H209:lung_cancer,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,-1.1615554569145536
NCI-H226:lung_cancer,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,1.0794055298016287
MOLT-4:leukaemia,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,-0.7375152791319971
SW620:colon_cancer,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,0.934200299458871
CAL-120:breast_cancer,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,0.8238163194536154
MV-4-11:leukaemia,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,-0.8632411516883817
AsPC-1:pancreatic_cancer,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,1.2074301755933026
TT:medulla_carcinoma,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,0.8809206879362135
OV-90:malignant_papillary_serous_adenocarcinoma,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,0.8305338320777826
OVKATE:Ovarian Cancer,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,1.2080531427318306
ALL-SIL:TALL,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,-0.7276208790425444
MOLM-13:Leukemia,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,-0.8345422068400703
OCI-LY-19:germinal center B-cell-like (GCB) DLBCL,"Veliparib:PARP1, PARP2",CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,-0.7396862747038794
NCI-H226:lung_cancer,"Bosutinib:SRC, ABL, TEC",CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,0.21422133793054537
AsPC-1:pancreatic_cancer,"Bosutinib:SRC, ABL, TEC",CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,0.23508134765826946
TT:medulla_carcinoma,"Bosutinib:SRC, ABL, TEC",CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,0.2826411737432358
BT-483:breast_cancer,"Bosutinib:SRC, ABL, TEC",CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,0.3238035437155717
NCI-H2347:lung_cancer,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.8891013160416943
NCI-H226:lung_cancer,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,1.0432677204721519
SW620:colon_cancer,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.9566614082149746
CAL-120:breast_cancer,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.8869646122389054
KMS-12-BM:Multiple Myeloma,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-0.9443040361774903
MV-4-11:leukaemia,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-0.8830046412758134
OPM-2:multiple_myeloma,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-0.8758952227191514
PF-382:TALL,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-0.9225018192703934
SU-DHL-1:anaplastic_large_cell_lymphoma,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-1.3189203852836526
AsPC-1:pancreatic_cancer,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,1.3409321150269364
L-363:plasma_cell_leukemia,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-0.9798474548426834
BT-483:breast_cancer,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.9524565841475833
OVKATE:Ovarian Cancer,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,0.990899698477891
JJN-3:multiple_myeloma,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-1.0664288647437334
MOLM-13:Leukemia,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-0.9136945499082672
SU-DHL-5:B-cell non-Hodgkin lymphoma,Lenalidomide:CRBN,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,-1.0518111816970268
SK-OV-3:ovarian_cancer,"Axitinib:PDGFR, KIT, VEGFR",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,0.633610082176805
AsPC-1:pancreatic_cancer,"Axitinib:PDGFR, KIT, VEGFR",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,0.7799261208969775
OVKATE:Ovarian Cancer,"Axitinib:PDGFR, KIT, VEGFR",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,0.7792055855106722
UACC-257:melanoma,"AZD7762:CHEK1, CHEK2",C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.6552738191979798
HCC1419:breast_cancer,"AZD7762:CHEK1, CHEK2",C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.07445167312091017
ZR-75-30:breast_cancer,"AZD7762:CHEK1, CHEK2",C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,0.4544911086714782
UACC-812:invasive_ductal_carcinoma,"AZD7762:CHEK1, CHEK2",C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.7407211513068732
BT-474:breast_cancer,"AZD7762:CHEK1, CHEK2",C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.23020407187193204
EFM-192A:breast_cancer,"AZD7762:CHEK1, CHEK2",C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.44876592807077464
HCC1500:ductal_carcinoma,"AZD7762:CHEK1, CHEK2",C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N,-0.6905841354804079
NCI-H2122:lung_cancer,GW441756:NTRK1,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O,-1.581372031803787
MDA-MB-175-VII:invasive_ductal_carcinoma,GW441756:NTRK1,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O,0.09328814834029404
P12-ICHIKAWA:TALL,GW441756:NTRK1,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O,-1.5144557267716987
AsPC-1:pancreatic_cancer,GW441756:NTRK1,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O,0.41875581939350115
MDA-MB-415:breast_adenocarcinoma,GW441756:NTRK1,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O,-1.5218766288976247
OVKATE:Ovarian Cancer,GW441756:NTRK1,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O,0.36881802241605394
CAL-78:chondrosarcoma,GW441756:NTRK1,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O,-1.4850529841862823
HCC1954:breast_cancer,"Lestaurtinib:FLT3, JAK2, NTRK1, NTRK2, NTRK3",CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,-0.6231501880291496
AsPC-1:pancreatic_cancer,"Lestaurtinib:FLT3, JAK2, NTRK1, NTRK2, NTRK3",CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,-0.6729516344009163
UACC-812:invasive_ductal_carcinoma,"Lestaurtinib:FLT3, JAK2, NTRK1, NTRK2, NTRK3",CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,-0.28778852512183606
HCC-366:lung_cancer,"Lestaurtinib:FLT3, JAK2, NTRK1, NTRK2, NTRK3",CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,-0.30022214906557754
OVKATE:Ovarian Cancer,"Lestaurtinib:FLT3, JAK2, NTRK1, NTRK2, NTRK3",CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,-0.1815056774059993
HCC1937:ductal_carcinoma,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,0.9525970171067273
HT-29:colon_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,1.0955185789220103
NCI-H226:lung_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,1.0566337539469535
SK-MEL-2:skin_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,-0.9047913452397491
SW620:colon_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,0.9335944782048893
CAL-120:breast_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,0.8474278354157299
MC116:undifferentiated B lymphoma,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,-1.1714678193592456
MDA-MB-175-VII:invasive_ductal_carcinoma,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,0.8845499001652531
MV-4-11:leukaemia,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,-0.9686005710507776
ZR-75-30:breast_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,0.8437484102390891
AsPC-1:pancreatic_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,1.0831478232216067
RL:non-Hodgkins lymphoma,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,-0.9464150211534593
TT:medulla_carcinoma,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,0.8644871740689477
BT-483:breast_cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,1.5139716477544387
OVKATE:Ovarian Cancer,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,0.9943129542087121
OCI-LY-19:germinal center B-cell-like (GCB) DLBCL,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,-1.032057081522561
RCH-ACV:acute lymphoblastic leukemia,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,-1.3994831814734843
SU-DHL-4:diffuse_histiocytic_lymphoma,"SB216763:GSK3A, GSK3B",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,-1.2031093245840383
VMRC-LCD:lung_cancer,Tanespimycin:HSP90,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,-0.707269938791717
SK-MEL-5:skin_cancer,Tanespimycin:HSP90,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,-0.6195842522787939
ABC-1:lung_cancer,Tanespimycin:HSP90,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,-0.6675474148859525
SNU-449:hepatocellular_cancer,Tanespimycin:HSP90,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC,-0.7023331487483225
42-MG-BA:Brain Cancer,"Motesanib:VEGFR, RET, KIT, PDGFR",CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,-1.0163632901028792
NCI-H226:lung_cancer,"Motesanib:VEGFR, RET, KIT, PDGFR",CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,1.0794055298016287
SW620:colon_cancer,"Motesanib:VEGFR, RET, KIT, PDGFR",CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,1.2667177867081734
JVM-2:B-prolymphocytic_leukemia,"Motesanib:VEGFR, RET, KIT, PDGFR",CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,-0.854481237626432
G-402:renal_leiomyoblastoma,"Motesanib:VEGFR, RET, KIT, PDGFR",CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C,-0.8620078727070624
