cell_line_name,drug_name,putative_target,ln_ic50,disease,smiles
ZR-75-30,Vinblastine,Microtubule destabiliser,-1.2050058601320925,breast_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
AsPC-1,Vinblastine,Microtubule destabiliser,-0.9360093059262228,pancreatic_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
BT-483,Vinblastine,Microtubule destabiliser,-1.0144463939433674,breast_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
FU-OV-1,Vinblastine,Microtubule destabiliser,-1.674943415902446,ovarian_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
OVKATE,Vinblastine,Microtubule destabiliser,-1.3932842623195696,Ovarian Cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
EFM-192A,Vinblastine,Microtubule destabiliser,-1.6313350074934763,breast_cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
HPAC,Vinblastine,Microtubule destabiliser,-1.4263086643891767,Pancreatic Cancer,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
NCI-H1650,Cisplatin,DNA crosslinker,0.7297523764583005,lung_cancer,N.N.Cl[Pt]Cl
NCI-H226,Cisplatin,DNA crosslinker,1.3832155734700804,lung_cancer,N.N.Cl[Pt]Cl
AsPC-1,Cisplatin,DNA crosslinker,1.509170882173209,pancreatic_cancer,N.N.Cl[Pt]Cl
BT-474,Cisplatin,DNA crosslinker,0.7419234938994621,breast_cancer,N.N.Cl[Pt]Cl
BT-483,Cisplatin,DNA crosslinker,0.8790726710782926,breast_cancer,N.N.Cl[Pt]Cl
OVKATE,Cisplatin,DNA crosslinker,0.9267055980964793,Ovarian Cancer,N.N.Cl[Pt]Cl
HCC1428,Cisplatin,DNA crosslinker,0.8571584549288653,breast_cancer,N.N.Cl[Pt]Cl
HPAC,Cisplatin,DNA crosslinker,0.7872075944568073,Pancreatic Cancer,N.N.Cl[Pt]Cl
NCI-H2347,Docetaxel,Microtubule stabiliser,-1.781388034733769,lung_cancer,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
SNU-449,Docetaxel,Microtubule stabiliser,-1.963847029547983,hepatocellular_cancer,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
AsPC-1,Docetaxel,Microtubule stabiliser,-1.9001960367801596,pancreatic_cancer,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
TT,Docetaxel,Microtubule stabiliser,-1.7853872444725354,medulla_carcinoma,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
NCI-H2347,Gefitinib,EGFR,0.24492095863541757,lung_cancer,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
BT-483,Gefitinib,EGFR,0.5104069275852505,breast_cancer,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
NCI-H1650,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",-0.527621290261126,lung_cancer,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
NCI-H226,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",-0.24886326800553485,lung_cancer,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
NCI-H522,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",-0.5864370641501413,lung_cancer,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
AsPC-1,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",-0.4540267688593722,pancreatic_cancer,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
OVKATE,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",-0.20008613511843287,Ovarian Cancer,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
BT-483,Refametinib,"MEK1, MEK2",0.4841232574148216,breast_cancer,COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)CC(CO)O)NC3=C(C=C(C=C3)I)F)F)F
HCC1428,Refametinib,"MEK1, MEK2",0.3711489500072706,breast_cancer,COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)CC(CO)O)NC3=C(C=C(C=C3)I)F)F)F
NCI-H226,Temsirolimus,MTOR,-0.017757358524762124,lung_cancer,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC
OVKATE,Temsirolimus,MTOR,0.12974722874420083,Ovarian Cancer,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC
HCC1428,Temsirolimus,MTOR,-0.2708974971858077,breast_cancer,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC
NCI-H226,Olaparib,"PARP1, PARP2",0.9362425519728496,lung_cancer,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
CAL-120,Olaparib,"PARP1, PARP2",0.7463305030185519,breast_cancer,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
MV-4-11,Olaparib,"PARP1, PARP2",-1.4796262902766157,leukaemia,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
RCM-1,Olaparib,"PARP1, PARP2",0.6903154413901955,rectum; adenocarcinoma; well differentiated,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
AsPC-1,Olaparib,"PARP1, PARP2",1.564376059947149,pancreatic_cancer,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
BT-483,Olaparib,"PARP1, PARP2",0.9160395420319465,breast_cancer,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
OVKATE,Olaparib,"PARP1, PARP2",1.0533854752681502,Ovarian Cancer,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
NCI-H209,Veliparib,"PARP1, PARP2",-1.1607235009954813,lung_cancer,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
NCI-H226,Veliparib,"PARP1, PARP2",1.080085108970661,lung_cancer,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
MOLT-4,Veliparib,"PARP1, PARP2",-0.7367121563182577,leukaemia,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
SW620,Veliparib,"PARP1, PARP2",0.9348897520265118,colon_cancer,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
CAL-120,Veliparib,"PARP1, PARP2",0.8245132777084279,breast_cancer,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
MV-4-11,Veliparib,"PARP1, PARP2",-0.8624294799976339,leukaemia,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
AsPC-1,Veliparib,"PARP1, PARP2",1.2081010495775653,pancreatic_cancer,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
TT,Veliparib,"PARP1, PARP2",0.88161376331304,medulla_carcinoma,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
OV-90,Veliparib,"PARP1, PARP2",0.8312303335675071,malignant_papillary_serous_adenocarcinoma,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
OVKATE,Veliparib,"PARP1, PARP2",1.2087239743567177,Ovarian Cancer,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
ALL-SIL,Veliparib,"PARP1, PARP2",-0.7268184290100529,TALL,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
MOLM-13,Veliparib,"PARP1, PARP2",-0.8337324865674737,Leukemia,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
OCI-LY-19,Veliparib,"PARP1, PARP2",-0.7388830042707697,germinal center B-cell-like (GCB) DLBCL,CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
NCI-H226,Bosutinib,"SRC, ABL, TEC",0.2149597463054963,lung_cancer,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
AsPC-1,Bosutinib,"SRC, ABL, TEC",0.2358183376325847,pancreatic_cancer,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
TT,Bosutinib,"SRC, ABL, TEC",0.28337492983183227,medulla_carcinoma,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
BT-483,Bosutinib,"SRC, ABL, TEC",0.3245345009209223,breast_cancer,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC
NCI-H2347,Lenalidomide,CRBN,0.8897938351671931,lung_cancer,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
NCI-H226,Lenalidomide,CRBN,1.043949756873582,lung_cancer,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
SW620,Lenalidomide,CRBN,0.9573493335133882,colon_cancer,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
CAL-120,Lenalidomide,CRBN,0.8876572766520658,breast_cancer,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
KMS-12-BM,Lenalidomide,CRBN,-0.9434868525215808,Multiple Myeloma,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
MV-4-11,Lenalidomide,CRBN,-0.8821916257435928,leukaemia,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
OPM-2,Lenalidomide,CRBN,-0.8750826906001186,multiple_myeloma,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
PF-382,Lenalidomide,CRBN,-0.9216861180815932,TALL,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
SU-DHL-1,Lenalidomide,CRBN,-1.3180777291531542,anaplastic_large_cell_lymphoma,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
AsPC-1,Lenalidomide,CRBN,1.3415939113914745,pancreatic_cancer,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
L-363,Lenalidomide,CRBN,-0.9790278543706609,plasma_cell_leukemia,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
BT-483,Lenalidomide,CRBN,0.9531447953579024,breast_cancer,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
OVKATE,Lenalidomide,CRBN,0.991585295703916,Ovarian Cancer,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
JJN-3,Lenalidomide,CRBN,-1.065603377067992,multiple_myeloma,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
MOLM-13,Lenalidomide,CRBN,-0.9128794475799961,Leukemia,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
SU-DHL-5,Lenalidomide,CRBN,-1.0509866879676544,B-cell non-Hodgkin lymphoma,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
SK-OV-3,Axitinib,"PDGFR, KIT, VEGFR",0.6343199737260591,ovarian_cancer,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
AsPC-1,Axitinib,"PDGFR, KIT, VEGFR",0.7806260635169147,pancreatic_cancer,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
OVKATE,Axitinib,"PDGFR, KIT, VEGFR",0.7799055771242515,Ovarian Cancer,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
UACC-257,AZD7762,"CHEK1, CHEK2",-0.6544762884880109,melanoma,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
HCC1419,AZD7762,"CHEK1, CHEK2",-0.07369363608865145,breast_cancer,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
ZR-75-30,AZD7762,"CHEK1, CHEK2",0.4552131796237719,breast_cancer,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
UACC-812,AZD7762,"CHEK1, CHEK2",-0.7399178105061246,invasive_ductal_carcinoma,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
BT-474,AZD7762,"CHEK1, CHEK2",-0.2294354442740752,breast_cancer,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
EFM-192A,AZD7762,"CHEK1, CHEK2",-0.44798243910517077,breast_cancer,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
HCC1500,AZD7762,"CHEK1, CHEK2",-0.6897842038043936,ductal_carcinoma,C1CC(CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N
NCI-H2122,GW441756,NTRK1,-1.5805115299681751,lung_cancer,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
MDA-MB-175-VII,GW441756,NTRK1,0.09403477970819801,invasive_ductal_carcinoma,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
P12-ICHIKAWA,GW441756,NTRK1,-1.5135997749881165,TALL,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
AsPC-1,GW441756,NTRK1,0.41948032020837356,pancreatic_cancer,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
MDA-MB-415,GW441756,NTRK1,-1.521020172521167,breast_adenocarcinoma,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
OVKATE,GW441756,NTRK1,0.36954591880954313,Ovarian Cancer,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
CAL-78,GW441756,NTRK1,-1.4841990316763973,chondrosarcoma,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC=N4)NC3=O
HCC1954,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",-0.6223548416028634,breast_cancer,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
AsPC-1,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",-0.6721529016673314,pancreatic_cancer,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
UACC-812,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",-0.28701598200207096,invasive_ductal_carcinoma,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
HCC-366,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",-0.2994487605070837,lung_cancer,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
OVKATE,Lestaurtinib,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",-0.18074036111214326,Ovarian Cancer,CC12C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O
HCC1937,SB216763,"GSK3A, GSK3B",0.953285218768144,ductal_carcinoma,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
HT-29,SB216763,"GSK3A, GSK3B",1.0961970624655173,colon_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
NCI-H226,SB216763,"GSK3A, GSK3B",1.0573148815093838,lung_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
SK-MEL-2,SB216763,"GSK3A, GSK3B",-0.9039768482952399,skin_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
SW620,SB216763,"GSK3A, GSK3B",0.9342839719660514,colon_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
CAL-120,SB216763,"GSK3A, GSK3B",0.8481231881780382,breast_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
MC116,SB216763,"GSK3A, GSK3B",-1.1706351894375542,undifferentiated B lymphoma,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
MDA-MB-175-VII,SB216763,"GSK3A, GSK3B",0.8852427287695709,invasive_ductal_carcinoma,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
MV-4-11,SB216763,"GSK3A, GSK3B",-0.9677817353237061,leukaemia,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
ZR-75-30,SB216763,"GSK3A, GSK3B",0.8444440131881941,breast_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
AsPC-1,SB216763,"GSK3A, GSK3B",1.083827147929043,pancreatic_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
RL,SB216763,"GSK3A, GSK3B",-0.94559769395867,non-Hodgkins lymphoma,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
TT,SB216763,"GSK3A, GSK3B",0.8651813668616729,medulla_carcinoma,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
BT-483,SB216763,"GSK3A, GSK3B",1.5146216780945874,breast_cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
OVKATE,SB216763,"GSK3A, GSK3B",0.9949983193464418,Ovarian Cancer,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
OCI-LY-19,SB216763,"GSK3A, GSK3B",-1.0312339309962173,germinal center B-cell-like (GCB) DLBCL,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
RCH-ACV,SB216763,"GSK3A, GSK3B",-1.39863504738191,acute lymphoblastic leukemia,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
SU-DHL-4,SB216763,"GSK3A, GSK3B",-1.2022745431613786,diffuse_histiocytic_lymphoma,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
VMRC-LCD,Tanespimycin,HSP90,-0.7064688725450897,lung_cancer,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
SK-MEL-5,Tanespimycin,HSP90,-0.6187891483224587,skin_cancer,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
ABC-1,Tanespimycin,HSP90,-0.6667490496185623,lung_cancer,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
SNU-449,Tanespimycin,HSP90,-0.7015324181844791,hepatocellular_cancer,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
42-MG-BA,Motesanib,"VEGFR, RET, KIT, PDGFR",-1.0155412066941454,Brain Cancer,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
NCI-H226,Motesanib,"VEGFR, RET, KIT, PDGFR",1.080085108970661,lung_cancer,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
SW620,Motesanib,"VEGFR, RET, KIT, PDGFR",1.2673846293623268,colon_cancer,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
JVM-2,Motesanib,"VEGFR, RET, KIT, PDGFR",-0.8536701615762344,B-prolymphocytic_leukemia,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
G-402,Motesanib,"VEGFR, RET, KIT, PDGFR",-0.861196284874554,renal_leiomyoblastoma,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
