cell_line_name,drug_name,putative_target,ln_ic50,cell_line_encoded,drug_encoded
ATN-1,Camptothecin,TOP1,-4.231874,39,40
CESS,Camptothecin,TOP1,-5.095314,97,40
COLO-668,Camptothecin,TOP1,-3.536045,111,40
A388,Camptothecin,TOP1,-3.33072,21,40
BALL-1,Camptothecin,TOP1,-5.092124,43,40
BL-41,Camptothecin,TOP1,-4.315039,60,40
BV-173,Camptothecin,TOP1,-4.95979,67,40
NY,Camptothecin,TOP1,-3.133278,675,40
RL,Camptothecin,TOP1,-3.567831,764,40
NCI-H1651,Camptothecin,TOP1,-3.303919,561,40
RPMI-7951,Camptothecin,TOP1,-4.044458,770,40
ST486,Camptothecin,TOP1,-3.427719,854,40
CAL-27,Camptothecin,TOP1,-3.741273,81,40
BC-1,Camptothecin,TOP1,-3.564322,47,40
BFTC-905,Camptothecin,TOP1,-4.208256,52,40
CAL-51,Camptothecin,TOP1,-3.290208,85,40
SCC-3,Camptothecin,TOP1,-5.118089,788,40
RERF-LC-MS,Camptothecin,TOP1,-3.847341,756,40
AM-38,Camptothecin,TOP1,-4.460758,34,40
A4-Fuk,Camptothecin,TOP1,-3.998151,22,40
A3-KAW,Camptothecin,TOP1,-5.308917,19,40
COR-L279,Camptothecin,TOP1,-4.877869,123,40
CHP-134,Camptothecin,TOP1,-3.958079,102,40
NEC8,Camptothecin,TOP1,-4.068479,664,40
ALL-PO,Camptothecin,TOP1,-4.788383,32,40
OCI-AML2,Camptothecin,TOP1,-4.907038,681,40
CML-T1,Camptothecin,TOP1,-5.881366,108,40
CAL-54,Camptothecin,TOP1,-3.705529,86,40
22RV1,Camptothecin,TOP1,-2.903667,0,40
8505C,Camptothecin,TOP1,-2.844189,12,40
BPH-1,Camptothecin,TOP1,-3.768755,62,40
CAL-148,Camptothecin,TOP1,-4.452581,80,40
CAL-39,Camptothecin,TOP1,-3.437277,84,40
HO-1-N-1,Camptothecin,TOP1,-4.293858,286,40
KGN,Camptothecin,TOP1,-3.566942,378,40
KP-N-RT-BM-1,Camptothecin,TOP1,-3.999017,399,40
SW954,Camptothecin,TOP1,-4.05017,890,40
TE-441-T,Camptothecin,TOP1,-3.17746,910,40
MFH-ino,Camptothecin,TOP1,-2.690856,486,40
TC-YIK,Camptothecin,TOP1,-4.341339,902,40
YT,Camptothecin,TOP1,-4.599872,963,40
KP-N-YS,Camptothecin,TOP1,-3.690019,401,40
D-245MG,Camptothecin,TOP1,-3.450906,146,40
D-566MG,Camptothecin,TOP1,-3.386085,155,40
CTB-1,Camptothecin,TOP1,-4.359843,135,40
M059J,Camptothecin,TOP1,-3.36278,462,40
HAL-01,Camptothecin,TOP1,-4.784567,248,40
ES8,Camptothecin,TOP1,-5.082761,202,40
ES4,Camptothecin,TOP1,-4.025219,198,40
ES1,Camptothecin,TOP1,-4.381349,197,40
EW-7,Camptothecin,TOP1,-4.230431,217,40
EW-3,Camptothecin,TOP1,-4.886205,216,40
EW-12,Camptothecin,TOP1,-4.95958,210,40
EW-1,Camptothecin,TOP1,-4.569609,208,40
EW-16,Camptothecin,TOP1,-4.112339,212,40
EW-13,Camptothecin,TOP1,-4.288211,211,40
EW-22,Camptothecin,TOP1,-5.153572,214,40
EW-24,Camptothecin,TOP1,-3.35013,215,40
NB10,Camptothecin,TOP1,-4.445893,530,40
NB17,Camptothecin,TOP1,-4.030804,534,40
NB5,Camptothecin,TOP1,-3.795452,536,40
NB13,Camptothecin,TOP1,-3.507576,532,40
NB14,Camptothecin,TOP1,-4.352954,533,40
NB1,Camptothecin,TOP1,-3.089499,529,40
RH-1,Camptothecin,TOP1,-4.502659,759,40
MZ2-MEL,Camptothecin,TOP1,-3.701168,522,40
Jurkat,Camptothecin,TOP1,-4.346346,361,40
LS-180,Camptothecin,TOP1,-3.015675,451,40
BICR22,Camptothecin,TOP1,-3.591777,57,40
ES-2,Camptothecin,TOP1,-3.767453,196,40
NCI-H2810,Camptothecin,TOP1,-3.229108,623,40
Hs-633T,Camptothecin,TOP1,-3.90281,312,40
Hs-683,Camptothecin,TOP1,-4.144878,313,40
IHH-4,Camptothecin,TOP1,-4.647146,329,40
JHH-4,Camptothecin,TOP1,-3.168142,344,40
JHU-011,Camptothecin,TOP1,-3.617749,350,40
KYM-1,Camptothecin,TOP1,-4.648701,408,40
KYSE-220,Camptothecin,TOP1,-3.331148,412,40
MDST8,Camptothecin,TOP1,-3.738061,476,40
ML-1,Camptothecin,TOP1,-2.717074,499,40
NCI-H2023,Camptothecin,TOP1,-2.987879,584,40
NCI-H211,Camptothecin,TOP1,-3.787589,593,40
NCI-H3122,Camptothecin,TOP1,-2.982006,629,40
PCI-15A,Camptothecin,TOP1,-3.475353,728,40
SUIT-2,Camptothecin,TOP1,-2.766648,864,40
TC-71,Camptothecin,TOP1,-4.620062,901,40
SUP-B15,Camptothecin,TOP1,-5.022001,865,40
OCI-AML3,Camptothecin,TOP1,-3.549858,682,40
CAL-29,Camptothecin,TOP1,-3.787352,82,40
NCI-H2795,Camptothecin,TOP1,-3.493492,619,40
HCC-78,Camptothecin,TOP1,-4.167635,255,40
ALL-SIL,Camptothecin,TOP1,-4.515815,33,40
AMO-1,Camptothecin,TOP1,-3.476291,35,40
DND-41,Camptothecin,TOP1,-4.247576,167,40
Farage,Camptothecin,TOP1,-4.62107,224,40
Hs-940-T,Camptothecin,TOP1,-3.012522,317,40
JHU-029,Camptothecin,TOP1,-3.378078,352,40
LOU-NH91,Camptothecin,TOP1,-3.292039,445,40
NCI-H1781,Camptothecin,TOP1,-3.760931,570,40
PCI-4B,Camptothecin,TOP1,-3.420978,730,40
TOV-112D,Camptothecin,TOP1,-3.859736,923,40
WM793B,Camptothecin,TOP1,-3.159174,956,40
GRANTA-519,Camptothecin,TOP1,-4.604882,242,40
COR-L32,Camptothecin,TOP1,-4.185081,126,40
Hs-445,Camptothecin,TOP1,-4.672673,310,40
HSC-39,Camptothecin,TOP1,-4.512512,295,40
NB4,Camptothecin,TOP1,-5.128109,535,40
JEKO-1,Camptothecin,TOP1,-4.224518,341,40
JM1,Camptothecin,TOP1,-5.023045,355,40
JSC-1,Camptothecin,TOP1,-4.721618,356,40
JURL-MK1,Camptothecin,TOP1,-4.475528,357,40
KARPAS-1106P,Camptothecin,TOP1,-4.390656,366,40
KARPAS-231,Camptothecin,TOP1,-5.204496,367,40
KOPN-8,Camptothecin,TOP1,-4.931236,393,40
MOLM-13,Camptothecin,TOP1,-4.890003,507,40
MOLM-16,Camptothecin,TOP1,-3.695107,508,40
MY-M12,Camptothecin,TOP1,-4.182263,520,40
NCI-H1876,Camptothecin,TOP1,-5.815014,576,40
NK-92MI,Camptothecin,TOP1,-4.545965,666,40
NU-DUL-1,Camptothecin,TOP1,-4.794101,672,40
OCI-AML5,Camptothecin,TOP1,-4.25333,683,40
OCI-LY-19,Camptothecin,TOP1,-5.605423,684,40
OCI-M1,Camptothecin,TOP1,-4.435586,686,40
P32-ISH,Camptothecin,TOP1,-5.135055,716,40
PL-21,Camptothecin,TOP1,-3.38721,736,40
PWR-1E,Camptothecin,TOP1,-3.837146,739,40
RCH-ACV,Camptothecin,TOP1,-4.794113,750,40
RC-K8,Camptothecin,TOP1,-3.475964,742,40
ROS-50,Camptothecin,TOP1,-3.118728,768,40
SLVL,Camptothecin,TOP1,-4.881173,833,40
SU-DHL-16,Camptothecin,TOP1,-5.154963,858,40
SU-DHL-4,Camptothecin,TOP1,-4.221604,859,40
SU-DHL-5,Camptothecin,TOP1,-5.153279,860,40
SU-DHL-6,Camptothecin,TOP1,-3.769868,861,40
SU-DHL-8,Camptothecin,TOP1,-4.594499,862,40
SUP-HD1,Camptothecin,TOP1,-4.717596,867,40
SUP-M2,Camptothecin,TOP1,-5.387443,868,40
VAL,Camptothecin,TOP1,-4.635845,945,40
WIL2-NS,Camptothecin,TOP1,-4.832375,951,40
WSU-DLCL2,Camptothecin,TOP1,-4.066545,957,40
DOV13,Camptothecin,TOP1,-3.473477,170,40
Hey,Camptothecin,TOP1,-2.789055,309,40
OV-7,Camptothecin,TOP1,-3.521462,700,40
UWB1.289,Camptothecin,TOP1,-3.481571,943,40
RCC-JF,Camptothecin,TOP1,-3.845291,746,40
RCC-ER,Camptothecin,TOP1,-3.572036,744,40
RCC-AB,Camptothecin,TOP1,-3.075722,743,40
MM1S,Camptothecin,TOP1,-3.797156,502,40
OCI-LY7,Camptothecin,TOP1,-4.664312,685,40
PFSK-1,Vinblastine,Microtubule destabiliser,-4.993002,735,150
A673,Vinblastine,Microtubule destabiliser,-6.012266,27,150
ES7,Vinblastine,Microtubule destabiliser,-5.742937,201,150
EW-11,Vinblastine,Microtubule destabiliser,-4.789647,209,150
SK-ES-1,Vinblastine,Microtubule destabiliser,-5.167295,805,150
RT4,Vinblastine,Microtubule destabiliser,-4.023106,776,150
C-33-A,Vinblastine,Microtubule destabiliser,-4.986046,70,150
C-4-I,Vinblastine,Microtubule destabiliser,-4.106048,71,150
42-MG-BA,Vinblastine,Microtubule destabiliser,-4.781426,2,150
8-MG-BA,Vinblastine,Microtubule destabiliser,-5.070939,10,150
A172,Vinblastine,Microtubule destabiliser,-5.096831,14,150
LK-2,Vinblastine,Microtubule destabiliser,-4.351062,439,150
NCI-H1648,Vinblastine,Microtubule destabiliser,-4.935335,559,150
NCI-H2170,Vinblastine,Microtubule destabiliser,-4.571822,598,150
COR-L311,Vinblastine,Microtubule destabiliser,-3.844284,125,150
DMS-114,Vinblastine,Microtubule destabiliser,-4.25325,163,150
DMS-273,Vinblastine,Microtubule destabiliser,-4.728188,164,150
NCI-H1048,Vinblastine,Microtubule destabiliser,-4.703754,543,150
NCI-H1963,Vinblastine,Microtubule destabiliser,-4.358418,580,150
NCI-H209,Vinblastine,Microtubule destabiliser,-5.60002,592,150
NCI-H2141,Vinblastine,Microtubule destabiliser,-3.660198,597,150
NCI-H526,Vinblastine,Microtubule destabiliser,-4.760824,642,150
NCI-H69,Vinblastine,Microtubule destabiliser,-6.546215,649,150
NCI-H82,Vinblastine,Microtubule destabiliser,-5.353554,657,150
NCI-H2052,Vinblastine,Microtubule destabiliser,-4.009445,587,150
SK-N-DZ,Vinblastine,Microtubule destabiliser,-5.175439,823,150
SK-N-FI,Vinblastine,Microtubule destabiliser,-3.668628,824,150
VA-ES-BJ,Vinblastine,Microtubule destabiliser,-4.047911,944,150
SBC-5,Vinblastine,Microtubule destabiliser,-5.105577,785,150
NCI-H929,Vinblastine,Microtubule destabiliser,-4.614341,662,150
SK-N-AS,Vinblastine,Microtubule destabiliser,-4.595479,822,150
NCI-H1299,Vinblastine,Microtubule destabiliser,-3.395133,547,150
UM-UC-3,Vinblastine,Microtubule destabiliser,-4.095587,941,150
Calu-6,Vinblastine,Microtubule destabiliser,-3.536138,142,150
LU-65,Vinblastine,Microtubule destabiliser,-4.805676,458,150
NCI-H1355,Vinblastine,Microtubule destabiliser,-3.580752,549,150
NCI-H1792,Vinblastine,Microtubule destabiliser,-5.883386,571,150
MIA-PaCa-2,Vinblastine,Microtubule destabiliser,-4.5581,494,150
SHP-77,Vinblastine,Microtubule destabiliser,-5.393392,798,150
NCI-H2009,Vinblastine,Microtubule destabiliser,-3.588898,583,150
HCC1395,Vinblastine,Microtubule destabiliser,-5.103655,259,150
HCC2157,Vinblastine,Microtubule destabiliser,-4.121887,269,150
BB49-HNC,Vinblastine,Microtubule destabiliser,-4.742222,45,150
Ca9-22,Vinblastine,Microtubule destabiliser,-4.566632,139,150
CADO-ES1,Vinblastine,Microtubule destabiliser,-3.790916,76,150
CAL-33,Vinblastine,Microtubule destabiliser,-5.52614,83,150
CPC-N,Vinblastine,Microtubule destabiliser,-4.59903,132,150
CTV-1,Vinblastine,Microtubule destabiliser,-6.004645,136,150
EC-GI-10,Vinblastine,Microtubule destabiliser,-5.658987,182,150
HO-1-u-1,Vinblastine,Microtubule destabiliser,-3.376531,287,150
HSC-2,Vinblastine,Microtubule destabiliser,-5.243836,293,150
IST-SL2,Vinblastine,Microtubule destabiliser,-4.711818,337,150
KNS-62,Vinblastine,Microtubule destabiliser,-3.280617,390,150
KP-4,Vinblastine,Microtubule destabiliser,-5.208374,398,150
LB996-RCC,Vinblastine,Microtubule destabiliser,-3.710849,433,150
LCLC-103H,Vinblastine,Microtubule destabiliser,-3.897813,437,150
LXF-289,Vinblastine,Microtubule destabiliser,-3.313495,460,150
MS-1,Vinblastine,Microtubule destabiliser,-3.901627,516,150
PC-14,Vinblastine,Microtubule destabiliser,-4.817076,725,150
SBC-3,Vinblastine,Microtubule destabiliser,-5.197593,784,150
U-266,Vinblastine,Microtubule destabiliser,-3.506973,931,150
BE2-M17,Vinblastine,Microtubule destabiliser,-4.138448,50,150
KELLY,Vinblastine,Microtubule destabiliser,-5.297772,376,150
SIMA,Vinblastine,Microtubule destabiliser,-3.384949,800,150
TE-1,Vinblastine,Microtubule destabiliser,-4.288151,904,150
TE-8,Vinblastine,Microtubule destabiliser,-4.364704,913,150
CAPAN-1,Vinblastine,Microtubule destabiliser,-4.242135,92,150
OVCAR-3,Vinblastine,Microtubule destabiliser,-5.061761,704,150
DU-145,Vinblastine,Microtubule destabiliser,-3.990806,172,150
HCT-116,Vinblastine,Microtubule destabiliser,-5.047672,275,150
HCT-15,Vinblastine,Microtubule destabiliser,-4.138154,276,150
HL-60,Vinblastine,Microtubule destabiliser,-6.30796,283,150
HT-29,Vinblastine,Microtubule destabiliser,-4.194482,303,150
K-562,Vinblastine,Microtubule destabiliser,-5.264247,362,150
NCI-H226,Vinblastine,Microtubule destabiliser,-2.265004,604,150
NCI-H23,Vinblastine,Microtubule destabiliser,-4.846995,606,150
NCI-H522,Vinblastine,Microtubule destabiliser,-4.374151,640,150
786-0,Vinblastine,Microtubule destabiliser,-4.167964,9,150
A549,Vinblastine,Microtubule destabiliser,-4.447393,26,150
ACHN,Vinblastine,Microtubule destabiliser,-3.019304,30,150
CCRF-CEM,Vinblastine,Microtubule destabiliser,-6.071944,96,150
SK-MEL-2,Vinblastine,Microtubule destabiliser,-4.29575,812,150
Hs-578-T,Vinblastine,Microtubule destabiliser,-4.817541,311,150
MOLT-4,Vinblastine,Microtubule destabiliser,-5.848835,512,150
MDA-MB-231,Vinblastine,Microtubule destabiliser,-3.721995,469,150
COLO-205,Vinblastine,Microtubule destabiliser,-5.386968,109,150
SW620,Vinblastine,Microtubule destabiliser,-3.916093,882,150
RPMI-8226,Vinblastine,Microtubule destabiliser,-5.486008,771,150
SR,Vinblastine,Microtubule destabiliser,-6.298531,853,150
NCI-H322M,Vinblastine,Microtubule destabiliser,-3.356921,630,150
IGROV-1,Vinblastine,Microtubule destabiliser,-3.832969,328,150
HCC2998,Vinblastine,Microtubule destabiliser,-5.588156,271,150
HOP-62,Vinblastine,Microtubule destabiliser,-2.974955,288,150
LOXIMVI,Vinblastine,Microtubule destabiliser,-4.679957,447,150
M14,Vinblastine,Microtubule destabiliser,-4.394202,463,150
UACC-62,Vinblastine,Microtubule destabiliser,-4.081433,938,150
U251,Vinblastine,Microtubule destabiliser,-4.506894,936,150
SF539,Vinblastine,Microtubule destabiliser,-5.907746,796,150
SF268,Vinblastine,Microtubule destabiliser,-4.115244,794,150
KM12,Vinblastine,Microtubule destabiliser,-5.654984,382,150
OVCAR-8,Vinblastine,Microtubule destabiliser,-5.844108,707,150
BxPC-3,Vinblastine,Microtubule destabiliser,-3.338498,69,150
BHT-101,Vinblastine,Microtubule destabiliser,-3.380829,54,150
Becker,Vinblastine,Microtubule destabiliser,-5.013116,68,150
BE-13,Vinblastine,Microtubule destabiliser,-6.024568,49,150
ARH-77,Vinblastine,Microtubule destabiliser,-5.968084,37,150
AGS,Vinblastine,Microtubule destabiliser,-5.262031,31,150
A2058,Vinblastine,Microtubule destabiliser,-5.489128,16,150
A375,Vinblastine,Microtubule destabiliser,-4.906441,20,150
8305C,Vinblastine,Microtubule destabiliser,-3.77503,11,150
639-V,Vinblastine,Microtubule destabiliser,-3.983057,5,150
697,Vinblastine,Microtubule destabiliser,-6.318249,7,150
A2780,Vinblastine,Microtubule destabiliser,-6.061653,18,150
COLO-824,Vinblastine,Microtubule destabiliser,-3.139922,119,150
COLO-792,Vinblastine,Microtubule destabiliser,-3.819328,117,150
CHP-212,Vinblastine,Microtubule destabiliser,-5.233896,103,150
Ca-Ski,Vinblastine,Microtubule destabiliser,-3.268321,138,150
CAL-72,Vinblastine,Microtubule destabiliser,-2.996897,88,150
CAL-62,Vinblastine,Microtubule destabiliser,-4.323996,87,150
Daudi,Vinblastine,Microtubule destabiliser,-4.448242,175,150
